ObjDokNr;Ortsteil;Bezirk;Denkmalart;EnsembleStatus;Adresse;Zugehˆrigkeit;Architekt/K¸nstler;WeitereInformationen;Beschreibung;Datierung;Eintragung
9065726;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Blanckertzweg 16-16C, 20-20F, 24-24G, 28-28I, Hildburghauser Straﬂe 229/231D, 235/241G;;Fa. Puutalo ;NA;Finnenhaussiedlung, Reihenhaussiedlung;1958;Nach 1995
9075223;STE-ZEH/NIKOL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Breisgauer Straﬂe 40/46, Dubrowstraﬂe 45/51, Spanische Allee 43/53;;Heinrich Wolff  ;NA;Siedlung Schlachtensee II;1928-29;Vor 1995
9065492;STE-ZEH/STEGL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Breitenbachplatz 11/15, Brentanostraﬂe 8/14, 18/20, Spinozastraﬂe 1-4;Siehe Ensemble Breitenbachplatz 7/21;Hermann Muthesius ;NA;Wohnanlage;1925-26;Nach 1995
9075700;STE-ZEH/ZEHLD-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Breitensteinweg 6/12, 30/40, Ebersteinweg 1-10, Hocksteinweg 1-17C, Ramsteinweg 1/15C, Windsteiner Weg 5/45, 18/42;;der Entwurfsabteilung der Siemens-Werke ;NA;Wohnsiedlung der Telefunkenwerke;1940-42;Nach 1995
9075703;STE-ZEH/ZEHLD-G;Steglitz-Zehlendorf;Gesamtanlage;NA;B¸lowstraﬂe 17/19, 21/33;;der Haus und Heim Wohnungsbau AG Berlin-Lichterfelde ;NA;Wohnh‰user;1938-39;Nach 1995
9065392;STE-ZEH/LANKW-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Calandrellistraﬂe 1/9, G‰rtnerstraﬂe 25-32;Siehe Gartendenkmal Calandrellistraﬂe 1/9;Albert Denzel und Fritz Freymueller; Anbau Musiksaal, 1928-29 von Gustav Clemens  ;Herrenhaus Correns (sp‰ter Siemensvilla), Hauptgeb‰ude, Einfamilienhaus mit Nebengeb‰uden, Einfriedung, Pfˆrtnerhaus, G‰rtner-und Garagenhaus, Teepavillon;1912-19 und 1928-29;Vor 1995
9075488;STE-ZEH/WANNS-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Charlottenstraﬂe 10, Schulstraﬂe 4/6;;Otto Stahn ;NA;Conradschule, zwei Schulgeb‰ude;1897-98 und 1903-04 und 1903-04;Nach 1995
9075385;STE-ZEH/DAHLE-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Clayallee 170/172, Bitscher Straﬂe, H¸ttenweg, Saargem¸nder Straﬂe 25;;Fritz Fuﬂ ;NA;sp‰ter US Headquarters Command;1935-38;Nach 1995
9075319;STE-ZEH/DAHLE-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Clayallee 222/226;;NA;NA;Oberfˆrsterei Grunewald mit Forsthaus, Scheune und Stallgeb‰ude;1890 und 1903;Nach 1995
9075711;STE-ZEH/ZEHLD-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Clayallee 255/271;;Rudolf Prˆmmel und Wilhelm Keller ;NA;Reihenh‰user;1928;Nach 1995
9075712;STE-ZEH/ZEHLD-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Clayallee 289/303;;Paul Mebes f¸r den Beamtenwohnungsverein ;NA;Wohnanlage;1909-10;Nach 1995
9075489;STE-ZEH/WANNS-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Colomierstraﬂe 1-2;Siehe Gartendenkmal Colomierstraﬂe 2;Bodo Ebhardt ;NA;Haus Langenscheidt, Wohnhaus;1899 und 1901-02;Nach 1995
9065396;STE-ZEH/LANKW-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Dessauerstraﬂe 38/46;;der Gemeinn¸tzigen Siedlung von Lankwitz eGmbH ;NA;Kleinhaus-Siedlung;1922-24;Nach 1995
9065502;STE-ZEH/STEGL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Dijonstraﬂe 9-11, 13-18, Goebenstraﬂe 7-8, Im Gartenheim 1-6, Sedanstraﬂe 13;Siehe Ensemble Dijonstraﬂe 9-11...;Heinrich Lotz; mit Freifl‰chen, 1913-14 ;Mietshausgruppen;1913-14 und 1913-14;Nach 1995
9065777;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;D¸rerstraﬂe 33-34, Tietzenweg 101/113;;Wilhelm Gericke und Nikolaus-August-Otto-Oberschule; 1956-59 vom Hochbauamt Steglitz ;Gemeindeschule;1890-1894 und 1956-59;Nach 1995
9075732;STE-ZEH/ZEHLD-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Eiderstedter Weg 5/9A;;Sauer & Moritz ;NA;Wohnh‰user;1910-13;Nach 1995
9065400;STE-ZEH/LANKW-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Falkenhausenweg 47-75A, Hanielweg 50/52, Hohenbornweg 1-6, 7/13, 15-20, Pappritzstraﬂe 7/41, Wichurastraﬂe 9/15;;der Architektengemeinschaft G. A. Behrens; Friedrich Blume, Leo Lottermoser ;Wohnanlage, ab;1937;Nach 1995
9065792;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Finckensteinallee 44/54, Kopernikusstraﬂe 8-13, Potsdamer Straﬂe 66-67;;Paul Zimmerreimer ;NA;Wohnanlage;1925-28;Nach 1995
9065793;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Finckensteinallee 41, 63, 65, 73, 85;;Fleischinger;" Voigtel und Bernhard, erweitert 1937-38 zur Kaserne der Waffen-SS, mit Torbauten, Wirtschaftsgeb‰ude, R¸st- und Kleidermagazinen; Schwimmhalle, 1937-38 vom Reichsbauamt II (Karl Reichle, Badberger, Wilhelm Weygandt); Andrews Chapel, 1951/52 ";, Hauptkadettenanstalt mit Kadettenkaserne, Lazarett, Isolierhaus, Wirtschaftsgeb‰ude;1871 und 1937-38 und 1937-38 und 1951;Nach 1995
9065794;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Finckensteinallee 89/97, Baseler Straﬂe 102-106, Berner Straﬂe 54-56;;Bender; Ismer und Endert ;Wohnanlage;1908-1912;Nach 1995
9075737;STE-ZEH/ZEHLD-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Fischerh¸ttenstraﬂe 47/65A, Hartmannsweilerweg 1-21, Sven-Hedin-Straﬂe 46/78, Zinnowweg 1/11, 2/8;;der Gemeinn¸tzigen Wohnungsf¸rsorgegesellschaft f¸r die Provinz Brandenburg; 1927-28 von Gustav Hochhaus f¸r die Heimst‰tten-Siedlung AG ;Zinnowwaldsiedlung;1927-28 und 1927-28;Nach 1995
9065511;STE-ZEH/STEGL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Forststraﬂe 18-23, 32-34, Bjˆrnsonstraﬂe 22, 25-29, Brentanostraﬂe 23, Buggestraﬂe 14-21, Opitzstraﬂe 1-5;;Bruno Ahrends ;NA;Wohnanlage;1924-28;Nach 1995
9065514;STE-ZEH/STEGL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Friedrichsruher Platz, Friedrichsruher Straﬂe 6A, Schˆnhauser Straﬂe 15;;Walter Kern ;NA;Ev. Lukaskirche und Pfarrh‰user;1914-17;Nach 1995
9065515;STE-ZEH/STEGL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Fritschweg 1-16, Grillparzerstraﬂe 15-16, R¸ckertstraﬂe 4-5;Siehe Gartendenkmal Fritschweg 1-16;Paul Mebes  ;NA;Wohnanlage Steglitz II;1907-08;Vor 1995
9065805;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Gardesch¸tzenweg 17/21;;Carl Anton Meckel und Siegfried Lukowski ;NA;Kath. St.-Annen-Kirche und Pfarrhaus;1935-37;Nach 1995
9065812;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Gardesch¸tzenweg 71/101, Augustaplatz 7, Tietzenweg 29/43, Viktoriastraﬂe 10;;Brun;" Ernst August Rossteuscher, Schˆnhals, Verworn, mit Hauptgeb‰ude, (Haus 801); westl. (Haus 802) und ˆstl. Wohngeb‰ude (Haus 811); B¸chsenmacherei (Haus 819); Feldfahrzeugschuppen (Haus 804), mit Krankenstall von 1907 und KFZ-Halle von 1937; Einfriedung; zwei Pumpen; Turnschuppen (Haus 805), mit Reithalle von 1902; Wohnkaserne (Haus 817), f¸r Garde-Maschinengewehr-Abteilung von 1911-12, mit Anbau f¸r die Radfahr-Kompagnie von 1913-15; Heeres-Feuerwerkerschule (Haus 810) von 1930-31, erweitert 1936, mit Feuerwerkerdenkmal, 1925; Wirtschaftsgeb‰ude (Haus 803), um 1935; Unterrichtsgeb‰ude (Haus 812), von 1933-35 mit Ger‰tehalle; Werkst‰ttengeb‰ude (Haus 813), von 1936; Mannschaftsgeb‰ude, (Haus 809), um 1935; Erweiterung der Heeresfeuerwerkerschule: Mannschaftsh‰user (Haus 11 und 14), 1936; Villa (Haus 13), 1893-94 von C. Vohl, Umbau 1936 zum ÑGesch‰ftszimmerhausì; Villa (Haus 12), 1897 von L. Deumig, 1936-37 Umbau zum Offizierskasino ";Kaserne des Garde-Sch¸tzen-Bataillons;1881-84 und 1907 und 1937 und 1902 und 1911-12 und 1913-15 und 1930-31 und 1936 und 1925 und 1935 und 1933-35 und 1936 und 1935 und 1936 und 1893-94 und 1936 und 1897 und 1936-37;Nach 1995
9085198;STE-ZEH/DAHLE-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Gelfertstraﬂe 45, Kehler Weg 4;;Hans Christian M¸ller und Georg Heinrichs ;NA;Studentenwohnheim mit Gemeindehaus;1961-64;Nach 1995
9065822;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Geranienstraﬂe 11-14, Hortensienplatz 1-3, Hortensienstraﬂe 1-4, Nelkenstraﬂe 1-7, Tulpenstraﬂe 17-19;Siehe Ensemble Asternplatz 1-4Ö;Otto Rudolf Salvisberg  ;NA;Wohnanlage;1924-26;Vor 1995
9065824;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Goerzallee 188/190, 218/220, Billy-Wilder-Promenade 4, 11/31, 32-59, Harry-S.-Truman-Allee 3/29, Osteweg 53, Platz des 4. Juli, Platz des 4. Juli 2/26 ;;Hans Hertlein;" Teilst¸ck des Vierten Rings, Planung 1936 von Albert Speer; McNair Barracks 1945-1994, mit Klubgeb‰ude und McNair Barracks Chapel, 1947 durch das Office oft the Engineer des Headquarters Berlin Command ";Telefunken-Werke;1937-40 und 1936 und 1945-1994 und 1947;Nach 1995
9085049;STE-ZEH/ZEHLD-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Goethestraﬂe 31-31C, 33-33C;;Gert Eckel; Gasleuchten im Straﬂenraum ;Reihenhausgruppe;1971-72;Nach 1995
9075339;STE-ZEH/DAHLE-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Goﬂlerstraﬂe 18, Ehrenbergstraﬂe 26/28;;Heinrich Straumer ;NA;Deutsches Entomologisches Nationalmuseum, mit Direktorenwohnhaus;1909-12;Nach 1995
9065518;STE-ZEH/STEGL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Gritznerstraﬂe 18/20, Treitschkestraﬂe 31-32;;Peter Lehrecke ;NA;Ev. Patmos-Kirche, Gemeindezentrum;1961-64;Nach 1995
9075234;STE-ZEH/NIKOL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Guntersblumer Weg 1-22, 24/28, Spanische Allee 18/70, Tewsstraﬂe 1/21, Wasgenstraﬂe 15/47;;Mebes & Emmerich  ;NA;Siedlung Schlachtensee I;1923-24;Vor 1995
9075763;STE-ZEH/ZEHLD-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Hartmannsweilerweg 22/40, Poﬂweg 11/15A, Sven-Hedin-Straﬂe 53-53A, 57-57B, 63-63C;;der Entwurfsabteilung der Gehag ;NA;Siedlung am Poﬂweg;1933-34;Nach 1995
9065852;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Hindenburgdamm 5A-6;;M. Ewatz ;NA;Solbad Lichterfelde;1892;Nach 1995
9065858;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Hindenburgdamm 24-25;Siehe Ensemble Hindenburgdamm 24-25...;Albert Biebendt ;NA;Doppelmietshaus;1873;Nach 1995
9070020;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Hindenburgdamm 27, Krahmerstraﬂe;;Hermann Fehling und Daniel Gogel ;NA;Institut f¸r Hygiene und Mikrobiologie, Institutsgeb‰ude mit Rampe, Vorplatz, staﬂenbegleitender Einfassung, Gr¸nanlage und Verbindungsgang zu den Zentralen Tierlaboratorien;1969-74;Nach 1995
9065347;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Hindenburgdamm 30;;Curtis & Davis und Franz Mocken ;NA;Klinikum Steglitz der Freien Universit‰t;1961-68;Nach 1995
9065861;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Hindenburgdamm 101-101A;Siehe Ensemble Hindenburgdamm 24-25...;Heinrich Schmieden und Martin Kremmer ;NA;Paulus-Gemeindezentrum;1929-30;Nach 1995
9065866;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Hindenburgdamm 127-128;;Walter Eichelkraut ;NA;Mietsh‰user;1902-03;Nach 1995
9075622;STE-ZEH/ZEHLD-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Hoch- und Untergrundbahn;Siehe Baudenkmale U-Bahnhˆfe Podbielskiallee, Dahlem Dorf, Thielplatz, Okar-Helene-Heim, Onkel Toms H¸tte, Krumme Lanke;Bandekow/Bousset (techn. Konzept) und Schweitzer/Jansen (st‰dtebaul. Konzept) mit Straﬂenbr¸cken ¸ber Clayallee; Landoltweg, Habelschwerdter Allee, Fabeckstraﬂe, Kˆnigin-Luise-Straﬂe  ;Erweiterung der Wilmersdorf-Dahlemer Bahn, (heute Teil der U-Bahnlinie 2) als Einschnittbahn zwischen den U-Bahnhˆfen Podbielskiallee und Krumme Lanke in zwei Bauabschnitten;1911-13 und 1929-30;Vor 1995
9075211;STE-ZEH/NIKOL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Hohenzollernplatz 5, Alemannenstraﬂe 10;;Bruno Mˆhring ;NA;Rathaus Nikolassee mit Feuerwache;1912-13;Nach 1995
9075490;STE-ZEH/WANNS-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Hohenzollernstraﬂe 14;;Breslauer & Salinger ;NA;Wohnhaus mit Nebengeb‰ude und Garten;1906-08;Nach 1995
9065869;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Holbeinstraﬂe 30A, Memlingstraﬂe 12;;Friedrich Simon  ;NA;Doppelwohnhaus;1901-02;Vor 1995
9065882;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Hortensienstraﬂe 18, Tulpenstraﬂe 1;Siehe Ensemble Asternplatz 1-4Ö;Martin Kremmer ;NA;Ev. Martin-Luther-Kirche und Pfarrhaus;1930-36;Nach 1995
9065884;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Hortensienstraﬂe 22-26;Siehe Ensemble Asternplatz 1-4Ö;Mebes & Emmerich ;NA;Reihenhausanlage;1925-26;Nach 1995
9065889;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Hortensienstraﬂe 34-63;Siehe Ensemble Asternplatz 1-4Ö;Otto Rudolf Salvisberg ;NA;Reihenhausanlage;1924-25;Nach 1995
9075384;STE-ZEH/DAHLE-G;Steglitz-Zehlendorf;Gesamtanlage;NA;H¸ttenweg 21, 25;;Ernst Sagebiel ;NA;Dienstwohnh‰user f¸r Luftwaffenoffiziere;1935-37;Nach 1995
9075448;STE-ZEH/DAHLE-G;Steglitz-Zehlendorf;Gesamtanlage;NA;H¸ttenweg 100;;Caspar Theyﬂ;" 1593 Erkeranbau von Graf zu Lynar; 1693-95 Umbauten von Johann Arnold Nering; bis 1707 Umbauten von Martin Gr¸nberg und Johann Heinrich Behr; 16. Jh. Nordtor und K¸chengeb‰ude; um 1770 Jagdzeugschuppen  ";Jagdschloss Grunewald mit Nebengeb‰uden und Schlosshof;1542-43 und 1593 und 1693-95 und 1707 und 1770;Vor 1995
9075376;STE-ZEH/DAHLE-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Im Gehege 2-5, Am Hirschsprung 3/25, Falkenried 2/20, Hohe ƒhren 1/9;;Heinrich Schweitzer und Bruno Ahrends (teilw. D) ;NA;Reihenhaussiedlung;1912-33;Nach 1995
9090006;STE-ZEH/ZEHLD-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Im Kieferngrund 2-10, Onkel-Tom-Straﬂe 64/64A;;Adolf Sommerfeld ;NA;Siedlung Im Kieferngrund;1922;Nach 1995
9080133;STE-ZEH/ZEHLD-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Im M¸hlenfelde 1/5, M¸hlenstraﬂe 16/18, Seehofstraﬂe 26/36;;Nissle ;NA;Postsiedlung;1930-31;Nach 1995
9075766;STE-ZEH/ZEHLD-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Im Schˆnower Park 1A, 2-7;;Rudolf Fisch und Gustav Kemper ;NA;Kleinhaussiedlung;1921-22;Nach 1995
9075575;STE-ZEH/NIKOL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Inselstraﬂe 3A/5;Siehe Gartendenkmal Inselstraﬂe 3A/5;Heinrich Schacker ;NA;Haus Monheim, Wohnhaus mit Wirtschaftsgeb‰ude, Pfˆrtnerhaus, Pergolen und Einfriedungsmauer;1925-26;Nach 1995
9075781;STE-ZEH/ZEHLD-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Karolinenstraﬂe 10/16;;Georg ThofÈhrn ;NA;Wohnanlage;1935-36;Nach 1995
9075787;STE-ZEH/ZEHLD-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kirchstraﬂe 4/6;;Hubert Stier ;NA;Ev. Pauluskirche und Pfarrhaus;1903-05;Nach 1995
9050055;STE-ZEH/NIKOL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kirchweg 18/20;;Johannes Bartschat;" Kapelle, 1912-13 von Johannes Bartschat; sowie Grabm‰lern Brockhusen, Epstein, Ernst, Freudenberg, Gadow, Hengstenberg, Henneberg, H¸neke, Klepper, Klimsch, Koehler, Krottnaurer, Muthesius, Pauly, Schmidt, Schuckar, Stimming, Trendelenburg und Untucht ";Evangelischer Kirchhof Nikolassee;1906-39 und 1906-07 und 1912-13;Nach 1995
9075239;STE-ZEH/NIKOL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kirchweg 19/21;;Erich Blunck und Johannes Bartschat ;NA;Ev. Kirche Nikolassee mit Vorplatz, Pfarrhaus und Konfirmandensaal;1909-10;Nach 1995
9065552;STE-ZEH/STEGL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Klingsorstraﬂe 22/34, Leydenallee 45, Lutherstraﬂe 10-11, Vereinsweg 1-3;;Erich Kˆhn ;NA;Wohnanlage Steglitz I;1901-04;Nach 1995
9065553;STE-ZEH/STEGL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Klingsorstraﬂe 35/59, 50/58, Barsekowstraﬂe 27/29, Birkbuschstraﬂe 65, Goebenstraﬂe 1-2, Gravelottestraﬂe 1-7, Johanna-Stegen-Straﬂe 2;;Paul Zimmerreimer ; Freifl‰chen, um 1929 ;Wohnanlage Steglitz III;1928-29 und 1929;Vor 1995
9065554;STE-ZEH/STEGL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kniephofstraﬂe 51-54, Lauenburger Straﬂe 28/32, Lothar-Bucher-Straﬂe 8-9, Schˆnhauser Straﬂe 17-17A, 18A;;Mebes & Emmerich ;NA;Wohnanlage;1925-26;Nach 1995
9065924;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kˆhlerstraﬂe 5-6, 8-9;;Helling  ;NA;Mietshausanlage;1873-74;Vor 1995
9065930;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kommandantenstraﬂe 83-84;;Richard Tietzen ;NA;4. Gemeindeschule Lichterfelde;1899 und 1902 und 1909 und 1913;Nach 1995
9065932;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kˆnigin-Luise-Platz, Altensteinstraﬂe 2/6, Kˆnigin-Luise-Straﬂe 6/8, Unter den Eichen 5-10, Willdenowstraﬂe;Siehe Gartendenkmal Kˆnigin-Luise-Platz;Alfred Koerner ;NA;Wasserturm, Pavillonbauten;1898-1902;Nach 1995
9075366;STE-ZEH/DAHLE-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kˆnigin-Luise-Straﬂe 17/19;;Johann H¸ckels  ;NA;Kaiserliche Biologische Anstalt f¸r Land- und Forstwirtschaft mit Labor- und Dienstgeb‰ude sowie Direktorenwohnhaus;1902-04;Vor 1995
9075367;STE-ZEH/DAHLE-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kˆnigin-Luise-Straﬂe 22;Siehe Gartendenkmal Kˆnigin-Luise-Straﬂe 22;Preller ;NA;Kˆnigliche G‰rtnerlehranstalt mit Institutsgeb‰ude, Direktorenwohnhaus, Pergola, Gew‰chshaus, Heizhaus und Remise;1902-03;Nach 1995
9075371;STE-ZEH/DAHLE-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kˆnigin-Luise-Straﬂe 47/51, Franz-Grothe-Weg , Pacelliallee 30;;Heinrich Schweitzer ;" Hofbrunnen, Stellmacherei, vermutlich1.Viertel 19. Jh.; Pferdestall, 1830; Gutsverwalter-Villa, 1901-02 von Reimarus & Hetzel; ehem. Feldflur (ÑDahlemer Felderì) (siehe Ensemble Kˆnigin-Luise-Straﬂe 46-58 ";Dom‰ne Dahlem mit Gutshaus;1560 und 1680 und 1913 und 1830 und 1901-02;Vor 1995
9075379;STE-ZEH/DAHLE-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kˆnigin-Luise-Straﬂe 88/98;;Reimarus & Hetzel; Friedrich und Wilhelm Hennings und Heinrich Schweitzer ;Sch¸ler-Kolonie-Dahlem, Internatsgeb‰ude;1906-11;Nach 1995
9075492;STE-ZEH/WANNS-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kˆnigstraﬂe 36B;Siehe Gartendenkmal Kˆnigstraﬂe 35B-36E;Charles Philippe Dieussart (?);" Umbau 1859-62 von Ferdinand von Arnim; Erweiterung und Umbau, 1889-92 von Albert Geyer, Erweiterung und Umbau, 1962-64 von Max Taut  ";Jagdschloss Glienicke, Schloss, seitliche Portalgruppe, Marstall und Kavalierhaus;1682-84 und 1859-62 und 1889-92 und 1962-64;Vor 1995
9075491;STE/ZEH-ZEH/WAN-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kˆnigstraﬂe 35B-36A, Nikolskoer Weg 3;Siehe Gartendenkmal Kˆnigstraﬂe 35B-36C;Karl Friedrich Schinkel und Ludwig Persius  ;NA;Schloss Glienicke, Kasino, Kleine Neugierde, Schloss, Kavalierhaus, Remise mit Turm, J‰gerhof, Groﬂe Neugierde, Hofg‰rtner- und Dampfmaschinenhaus, Lˆwenfont‰ne, Orangerie mit Gew‰chsh‰usern, Stibadium, Pforte, Mauer und ƒdikulanische Treppe mit Sphingen, Teufelsbr¸cke, Matrosenhaus, Tˆpferbr¸cke, Hirschtor und Mauer, J‰gertor, zwei Stege im Verlauf des Havelweges, Wirtschaftshof, Pfˆrtnerhaus, Klosterhof, Wildparktor- und Obertorhaus, Johannitertor;1824-62;Vor 1995
9075996;STE-ZEH/ZEHLD-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kˆnigsweg 49/55;;NA;NA;Insth‰user des Ritterguts D¸ppel;1830-60;Nach 1995
9065946;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kornmesserstraﬂe 2-3;;Christoph Hehl ;NA;Kath. Kirche zur Heiligen Familie mit Pfarr- und Gemeindehaus;1902-06;Nach 1995
9075167;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kranoldplatz 6;;Karl Cornelius und L¸cking; Toilettengeb‰ude, 1913-15 von Tietzen  und Unterf¸hrung Kˆnigsberger Straﬂe von der Kgl. Eisenbahn-Bauabteilung ;Stellwerk Lio mit Laden (D);1915-16 und 1913-15;Vor 1995
9075581;STE-ZEH/NIKOL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Kronprinzessinnenweg 21;;Wilhelm Schuffenhauer ;NA;Schloss Wannsee, Ausflugsgastst‰tte mit Restaurationsgeb‰ude, Winterstall, Sommerk¸che, offener und geschlossener Glashalle;1896;Nach 1995
9075386;STE-ZEH/DAHLE-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Ladenbergstraﬂe 22/24, Rudeloffweg 4/12, 16, Von-Laue-Straﬂe 3, 7/11, 15/17;Siehe Gartendenkmal Ladenbergstraﬂe 22/24;Erich Kˆhn  ;NA;Mietwohnanlage Dahlem II;1904-06;Vor 1995
9070021;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Landweg 1/15C, Osdorfer Straﬂe 58-60, RÈaumurstraﬂe 17/39A;;Wacht¸rmen (Osdorfer Straﬂe vor Nr. 59 und Ecke Landweg/Osdorfer Straﬂe) von 1939-1944 ;NA;und Ecke Landweg/Osdorfer Straﬂe) von;1939-1944;Nach 1995
9075387;STE-ZEH/DAHLE-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Lentzeallee 93/103, Gregor-Mendel-Straﬂe 2/8, Milowstraﬂe 2/12, Spilstraﬂe 1/3;;Heinz Tietze aus der Hochbauabteilung des Preuﬂischen Finanzministeriums  ;NA;Wohnanlage;1922-23;Vor 1995
9065957;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Lilienstraﬂe 3-6, Hortensienplatz 4-6, Hortensienstraﬂe 5-8, Tulpenstraﬂe 8-16;Siehe Ensemble Asternplatz 1-4Ö;Hans Kraffert ;NA;Wohnanlage;1927-28;Nach 1995
9065959;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Lorenzstraﬂe 10-11;Siehe Ensemble Oberhofer Platz 8, 9A;Herold  ;NA;DoppelMietshaus;1901-03;Vor 1995
9075391;STE-ZEH/DAHLE-G;Steglitz-Zehlendorf;Gesamtanlage;NA;L¸tzelsteiner Weg 3/5, 6, 8-17, Reichshofer Straﬂe 7/9, 10-24, Ripleystraﬂe 1-12;Siehe Gartendenkmal Dreipfuhlpark;der Engineer Division und der Senatsverwaltung f¸r Bau- und Wohnungswesen ;NA;Wohnsiedlung f¸r US-Offiziere;1956-57;Nach 1995
9065419;STE-ZEH/LANKW-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Malteserstraﬂe 113/121;;J¸rgen Krˆger; Wiederaufbau 1953-56 von Andreas Doll ;Lutherkirchhof, Kapelle, Beamtenwohnhaus, Einfriedung und Tor;1902-03 und 1953-56;Nach 1995
9065963;STE-ZEH/LIFEL-G;Steglitz-Zehlendorf;Gesamtanlage;NA;Margaretenstraﬂe 21-32A, Tietzenweg 2/6, Unter den Eichen 102-107;;Bruno Langkeit  ;NA;Wohnanlage;1925-26;Vor 1995
